Pool_ID,FloodedAt,DaysFlooded,AvgDaysFlooded,TotalEvents,AvgEvents
1,7.569557298,356,71.2,49,9.8
2,7.569557298,356,71.2,49,9.8
3,8.221000498,271,54.2,48,9.6
4,8.221000498,271,54.2,48,9.6
5,9.004126257,210,42,47,9.4
6,5.402040575,887,177.4,47,9.4
8,5.402040575,887,177.4,47,9.4
10,7.569557298,356,71.2,49,9.8
11,6.438938663,593,118.6,52,10.4
12,6.95517963,468,93.6,55,11
13,6.438938663,593,118.6,52,10.4
14,8.221000498,271,54.2,48,9.6
15,6.95517963,468,93.6,55,11
16,8.221000498,271,54.2,48,9.6
18,6.95517963,468,93.6,55,11
22,5.872170023,730,146,47,9.4
23,8.221000498,271,54.2,48,9.6
25,5.402040575,887,177.4,47,9.4
26,5.402040575,887,177.4,47,9.4
28,5.402040575,887,177.4,47,9.4
30,5.402040575,887,177.4,47,9.4
31,5.402040575,887,177.4,47,9.4
32,5.872170023,730,146,47,9.4
33,5.062048436,1011,202.2,49,9.8
41,5.872170023,730,146,47,9.4
42,6.95517963,468,93.6,55,11
43,6.95517963,468,93.6,55,11
45,5.402040575,887,177.4,47,9.4
46,5.402040575,887,177.4,47,9.4
47,5.872170023,730,146,47,9.4
48,5.402040575,887,177.4,47,9.4
49,7.569557298,356,71.2,49,9.8
50,8.221000498,271,54.2,48,9.6
52,6.438938663,593,118.6,52,10.4
54,5.872170023,730,146,47,9.4
55,5.872170023,730,146,47,9.4
57,5.872170023,730,146,47,9.4
61,13.09037498,47,9.4,21,4.2
62,13.09037498,47,9.4,21,4.2
63,11.25860792,95,19,35,7
64,11.25860792,95,19,35,7
65,11.25860792,95,19,35,7
67,8.221000498,271,54.2,48,9.6
68,8.221000498,271,54.2,48,9.6
69,7.569557298,356,71.2,49,9.8
70,7.569557298,356,71.2,49,9.8
71,7.569557298,356,71.2,49,9.8
72,5.402040575,887,177.4,47,9.4
73,5.872170023,730,146,47,9.4
74,6.95517963,468,93.6,55,11
75,6.95517963,468,93.6,55,11
76,6.95517963,468,93.6,55,11
77,7.569557298,356,71.2,49,9.8
78,7.569557298,356,71.2,49,9.8
79,7.569557298,356,71.2,49,9.8
80,5.872170023,730,146,47,9.4
81,7.569557298,356,71.2,49,9.8
82,7.569557298,356,71.2,49,9.8
83,7.569557298,356,71.2,49,9.8
84,7.569557298,356,71.2,49,9.8
85,5.402040575,887,177.4,47,9.4
86,7.569557298,356,71.2,49,9.8
87,8.221000498,271,54.2,48,9.6
88,8.221000498,271,54.2,48,9.6
89,7.569557298,356,71.2,49,9.8
91,7.569557298,356,71.2,49,9.8
92,6.95517963,468,93.6,55,11
93,5.872170023,730,146,47,9.4
94,5.872170023,730,146,47,9.4
95,7.569557298,356,71.2,49,9.8
96,7.569557298,356,71.2,49,9.8
97,6.438938663,593,118.6,52,10.4
98,5.402040575,887,177.4,47,9.4
103,6.95517963,468,93.6,55,11
104,6.438938663,593,118.6,52,10.4
105,7.569557298,356,71.2,49,9.8
107,6.95517963,468,93.6,55,11
108,5.402040575,887,177.4,47,9.4
109,7.569557298,356,71.2,49,9.8
110,5.872170023,730,146,47,9.4
111,5.872170023,730,146,47,9.4
113,5.402040575,887,177.4,47,9.4
114,5.872170023,730,146,47,9.4
116,5.060905998,1011,202.2,49,9.8
117,5.402040575,887,177.4,47,9.4
118,5.872170023,730,146,47,9.4
119,5.872170023,730,146,47,9.4
120,5.872170023,730,146,47,9.4
121,5.402040575,887,177.4,47,9.4
122,5.402040575,887,177.4,47,9.4
123,5.402040575,887,177.4,47,9.4
124,5.402040575,887,177.4,47,9.4
125,5.402040575,887,177.4,47,9.4
126,5.402040575,887,177.4,47,9.4
127,7.569557298,356,71.2,49,9.8
128,7.569557298,356,71.2,49,9.8
129,8.221000498,271,54.2,48,9.6
130,9.004126257,210,42,47,9.4
131,8.221000498,271,54.2,48,9.6
133,8.221000498,271,54.2,48,9.6
134,5.872170023,730,146,47,9.4
135,6.95517963,468,93.6,55,11
136,9.004126257,210,42,47,9.4
137,7.569557298,356,71.2,49,9.8
138,8.221000498,271,54.2,48,9.6
139,5.872170023,730,146,47,9.4
140,5.402040575,887,177.4,47,9.4
141,5.402040575,887,177.4,47,9.4
143,5.402040575,887,177.4,47,9.4
